source,target,value
Plano,Washingtonia,0
Plano,Celtis,3279
Plano,Malus,5
Plano,Zelkova,0
Plano,Eucalyptus,0
Plano,Ginkgo,9
Plano,Ficus,0
Florida,Orlando,68211
Orlando,Acer,1821
Orlando,Quercus,29619
Orlando,Fraxinus,11
Orlando,Platanus,284
Orlando,Gleditsia,1
Orlando,Lagerstroemia,14988
Orlando,Prunus,708
Orlando,Pyrus,115
Orlando,Tilia,0
Orlando,Ulmus,2674
Orlando,Pinus,1184
Orlando,Liquidambar,374
Orlando,Magnolia,1964
Orlando,Washingtonia,1388
Orlando,Celtis,8
Orlando,Malus,2
Orlando,Zelkova,0
Orlando,Eucalyptus,11
Orlando,Ginkgo,1
Orlando,Ficus,117
Florida,CapeCoral,34021
CapeCoral,Acer,138
CapeCoral,Quercus,7061
CapeCoral,Fraxinus,0
CapeCoral,Platanus,7
CapeCoral,Gleditsia,0
CapeCoral,Lagerstroemia,503
CapeCoral,Prunus,1
CapeCoral,Pyrus,0
CapeCoral,Tilia,0
CapeCoral,Ulmus,59
CapeCoral,Pinus,3298
CapeCoral,Liquidambar,39
CapeCoral,Magnolia,123
CapeCoral,Washingtonia,0
CapeCoral,Celtis,0
CapeCoral,Malus,0
CapeCoral,Zelkova,0
CapeCoral,Eucalyptus,210
CapeCoral,Ginkgo,0
CapeCoral,Ficus,188
Maryland,Baltimore,121290
Baltimore,Acer,26076
Baltimore,Quercus,15716
Baltimore,Fraxinus,3482
Baltimore,Platanus,6787
Baltimore,Gleditsia,3295
Baltimore,Lagerstroemia,1590
Baltimore,Prunus,6739
Baltimore,Pyrus,4792
Baltimore,Tilia,8084
Baltimore,Ulmus,6250
Baltimore,Pinus,1823
Baltimore,Liquidambar,2517
Baltimore,Magnolia,671
Baltimore,Washingtonia,0
Baltimore,Celtis,1040
Baltimore,Malus,917
Baltimore,Zelkova,6767
Baltimore,Eucalyptus,0
Baltimore,Ginkgo,1628
Baltimore,Ficus,30
