source,target,value
Other cities,Oleaceae,491
Other cities,Ulmaceae,1915
Other cities,Platanaceae,1072
Other cities,Pinaceae,6
Other cities,Malvaceae,1164
Other cities,Cupressaceae,83
Other cities,Magnoliaceae,665
Other cities,Altingiaceae,180
Other cities,Other species,6047
Other cities,Sapindaceae,1712
Other cities,Rosaceae,1739
Other cities,Fagaceae,163
Other cities,Fabaceae,358
Other cities,Oleaceae,317
Other cities,Ulmaceae,601
Other cities,Platanaceae,698
Other cities,Pinaceae,1283
Other cities,Lythraceae,2359
Other cities,Arecaceae,2478
Other cities,Malvaceae,42
Other cities,Myrtaceae,2373
Other cities,Cupressaceae,231
Other cities,Magnoliaceae,713
Other cities,Altingiaceae,365
Other cities,Other species,2089
Other cities,Sapindaceae,2174
Other cities,Rosaceae,748
Other cities,Fagaceae,4289
Other cities,Fabaceae,786
Other cities,Oleaceae,347
Other cities,Ulmaceae,1304
Other cities,Platanaceae,100
Other cities,Pinaceae,312
Other cities,Lythraceae,3103
Other cities,Arecaceae,2
Other cities,Malvaceae,102
Other cities,Cupressaceae,530
Other cities,Magnoliaceae,427
Other cities,Altingiaceae,163
Other cities,Other species,1627
Other cities,Sapindaceae,4158
Other cities,Rosaceae,1690
Other cities,Fagaceae,1863
Other cities,Fabaceae,614
Other cities,Oleaceae,2116
Other cities,Ulmaceae,477
Other cities,Platanaceae,224
Other cities,Pinaceae,1486
Other cities,Malvaceae,525
Other cities,Cupressaceae,422
Other cities,Magnoliaceae,43
Other cities,Altingiaceae,5
Other cities,Other species,2182
Other cities,Sapindaceae,12220
Other cities,Rosaceae,581
Other cities,Fagaceae,776
Other cities,Fabaceae,236
Other cities,Oleaceae,495
Other cities,Ulmaceae,226
Other cities,Platanaceae,108
Other cities,Pinaceae,93
Other cities,Malvaceae,378
Other cities,Cupressaceae,13
Other cities,Magnoliaceae,18
Other cities,Altingiaceae,8
Other cities,Other species,324
Other cities,Sapindaceae,369
Other cities,Fabaceae,3352
Other cities,Oleaceae,57
Other cities,Lythraceae,266
Other cities,Arecaceae,4151
Other cities,Malvaceae,359
Other cities,Myrtaceae,423
Other cities,Cupressaceae,25
Other cities,Magnoliaceae,65
Other cities,Other species,6083
Other cities,Sapindaceae,1769
Other cities,Rosaceae,715
Other cities,Fagaceae,824
Other cities,Fabaceae,673
Other cities,Oleaceae,2638
Other cities,Ulmaceae,1880
Other cities,Platanaceae,10
Other cities,Pinaceae,4103
Other cities,Malvaceae,475
Other cities,Cupressaceae,507
Other cities,Other species,1314
Other cities,Sapindaceae,179
Other cities,Rosaceae,593
Other cities,Fagaceae,4100
Other cities,Fabaceae,1008
Other cities,Oleaceae,213
Other cities,Ulmaceae,2245
Other cities,Platanaceae,41
Other cities,Pinaceae,696
Other cities,Lythraceae,1195
Other cities,Malvaceae,21
Other cities,Cupressaceae,872
Other cities,Magnoliaceae,84
Other cities,Altingiaceae,91
Other cities,Other species,3335
Other cities,Sapindaceae,345
Other cities,Rosaceae,335
Other cities,Fagaceae,2021
Other cities,Fabaceae,469
Other cities,Oleaceae,133
Other cities,Ulmaceae,1210
Other cities,Platanaceae,289
Other cities,Pinaceae,783
Other cities,Lythraceae,689
Other cities,Malvaceae,1
Other cities,Cupressaceae,1183
Other cities,Magnoliaceae,40
Other cities,Altingiaceae,56
Other cities,Other species,1317
Other cities,Sapindaceae,1784
Other cities,Rosaceae,710
Other cities,Fagaceae,1020
Other cities,Fabaceae,561
Other cities,Oleaceae,51
Other cities,Ulmaceae,480
Other cities,Platanaceae,260
Other cities,Pinaceae,373
Other cities,Lythraceae,517
Other cities,Malvaceae,100
Other cities,Cupressaceae,306
Other cities,Magnoliaceae,334
Other cities,Altingiaceae,96
Other cities,Other species,1780
Other cities,Sapindaceae,699
Other cities,Rosaceae,446
Other cities,Fagaceae,1003
Other cities,Fabaceae,111
Other cities,Oleaceae,99
Other cities,Ulmaceae,473
Other cities,Platanaceae,26
Other cities,Pinaceae,251
Other cities,Lythraceae,752
Other cities,Arecaceae,13
Other cities,Malvaceae,14
Other cities,Myrtaceae,1
Other cities,Cupressaceae,393
Other cities,Magnoliaceae,225
Other cities,Altingiaceae,110
Other cities,Other species,1956
Other cities,Sapindaceae,195
Other cities,Rosaceae,186
Other cities,Fagaceae,2171
Other cities,Fabaceae,131
