source,target,value
Washington DC,Ulmaceae,22022
Washington DC,Platanaceae,7478
Washington DC,Pinaceae,7905
Washington DC,Lythraceae,4353
Washington DC,Malvaceae,5582
Washington DC,Cupressaceae,2592
Washington DC,Magnoliaceae,3257
Washington DC,Altingiaceae,4185
Washington DC,Anacardiaceae,1996
Washington DC,Cannabaceae,2549
Washington DC,Moraceae,495
Washington DC,Betulaceae,3557
Washington DC,Bignoniaceae,126
Florida,Orlando,66229
Orlando,Sapindaceae,1830
Orlando,Rosaceae,1253
Orlando,Fagaceae,31312
Orlando,Fabaceae,263
Orlando,Oleaceae,659
Orlando,Ulmaceae,2674
Orlando,Platanaceae,284
Orlando,Pinaceae,1185
Orlando,Lythraceae,14988
Orlando,Arecaceae,5970
Orlando,Malvaceae,10
Orlando,Myrtaceae,209
Orlando,Cupressaceae,909
Orlando,Magnoliaceae,1973
Orlando,Altingiaceae,374
Orlando,Anacardiaceae,77
Orlando,Cannabaceae,8
Orlando,Moraceae,170
Orlando,Betulaceae,9
Orlando,Bignoniaceae,24
Florida,Cape Coral,32180
Cape Coral,Sapindaceae,583
Cape Coral,Rosaceae,10
Cape Coral,Fagaceae,7061
Cape Coral,Fabaceae,818
Cape Coral,Oleaceae,434
Cape Coral,Ulmaceae,59
Cape Coral,Platanaceae,7
Cape Coral,Pinaceae,3298
Cape Coral,Lythraceae,503
Cape Coral,Arecaceae,10320
Cape Coral,Malvaceae,22
Cape Coral,Myrtaceae,941
Cape Coral,Cupressaceae,2364
Cape Coral,Magnoliaceae,123
Cape Coral,Altingiaceae,39
Cape Coral,Anacardiaceae,6
Cape Coral,Moraceae,188
Cape Coral,Bignoniaceae,172
Maryland,Baltimore,121279
Baltimore,Sapindaceae,27011
Baltimore,Rosaceae,14010
Baltimore,Fagaceae,16223
Baltimore,Fabaceae,8903
Baltimore,Oleaceae,3998
Baltimore,Ulmaceae,13017
Baltimore,Platanaceae,6787
Baltimore,Pinaceae,2830
Baltimore,Lythraceae,1590
Baltimore,Malvaceae,8101
Baltimore,Cupressaceae,2666
Baltimore,Magnoliaceae,2013
Baltimore,Altingiaceae,2517
Baltimore,Anacardiaceae,137
Baltimore,Cannabaceae,1040
Baltimore,Moraceae,1668
Baltimore,Betulaceae,1072
Baltimore,Bignoniaceae,168
Louisiana,New Orleans,105786
New Orleans,Sapindaceae,1903
New Orleans,Rosaceae,3293
New Orleans,Fagaceae,25572
New Orleans,Fabaceae,2168
New Orleans,Oleaceae,2629
New Orleans,Ulmaceae,2154
New Orleans,Platanaceae,621
New Orleans,Pinaceae,3500
