city,species,count,common_name,tree_genus,tree_family,tree_order
Irvine,Quercus lobata,0,California white oak,Quercus,Fagaceae,Fagales
Irvine,Sequoia sempervirens,8,Coast redwood,Sequoia,Cupressaceae,Pinales
Irvine,Syagrus romanzoffianum,0,Queen palm,Syagrus,Arecaceae,Arecales
Irvine,Tristaniopsis laurina,2,Swamp myrtle,Tristaniopsis,Myrtaceae,Myrtales
Irvine,Washingtonia robusta,542,Mexican fan palm,Washingtonia,Arecaceae,Arecales
Garden Grove,Abies,0,Fir,Abies,Pinaceae,Pinales
Garden Grove,Cedrus deodara,32,Deodar cedar,Cedrus,Pinaceae,Pinales
Garden Grove,Cinnamomum camphora,98,Camphor tree,Cinnamomum,Lauraceae,Laurales
Garden Grove,Cupaniopsis anacardioides,1438,Carrotwood,Cupaniopsis,Sapindaceae,Sapindales
Garden Grove,Eucalyptus globulus,93,Eucalyptus,Eucalyptus,Myrtaceae,Myrtales
Garden Grove,Eucalyptus maculata,10,Spotted gum,Corymbia,Myrtaceae,Myrtales
Garden Grove,Gleditsia triacanthos,125,Honeylocust,Gleditsia,Fabaceae,Fabales
Garden Grove,Lagerstroemia indica,2358,Crape myrtle,Lagerstroemia,Lythraceae,Myrtales
Garden Grove,Liquidambar styraciflua,365,American sweetgum,Liquidambar,Altingiaceae,Saxifragales
Garden Grove,Lophostemon confertus,1643,Brisbane box,Lophostemon,Myrtaceae,Myrtales
Garden Grove,Magnolia grandiflora,696,Southern magnolia,Magnolia,Magnoliaceae,Magnoliales
Garden Grove,Metrosideros excelsa,55,New zealand xmas tree,Metrosideros,Myrtaceae,Myrtales
Garden Grove,Pinus canariensis,1049,Canary island pine,Pinus,Pinaceae,Pinales
Garden Grove,Pistacia chinensis,11,Chinese pistache,Pistacia,Anacardiaceae,Sapindales
Garden Grove,Platanus acerifolia,593,London planetree,Platanus,Platanaceae,Proteales
Garden Grove,Prunus,5,Cherry,Prunus,Rosaceae,Rosales
Garden Grove,Pyrus calleryana,467,Callery pear,Pyrus,Rosaceae,Rosales
Garden Grove,Quercus,0,Deciduous oak,Quercus,Fagaceae,Fagales
Garden Grove,Quercus lobata,0,California white oak,Quercus,Fagaceae,Fagales
Garden Grove,Sequoia sempervirens,4,Coast redwood,Sequoia,Cupressaceae,Pinales
Garden Grove,Syagrus romanzoffianum,897,Queen palm,Syagrus,Arecaceae,Arecales
